,src,dst,time,ext_roll
7478,23,2,1128,0
7479,23,3,1128,0
7480,23,4,1128,0
7481,23,10,1128,0
7482,23,14,1128,0
7483,28,2,1128,0
7484,28,3,1128,0
7485,28,4,1128,0
7486,28,10,1128,0
7487,28,14,1128,0
7488,0,2,1128,0
7489,0,3,1128,0
7490,0,4,1128,0
7491,0,10,1128,0
7492,0,14,1128,0
7493,2,3,1128,0
7494,2,4,1128,0
7495,2,10,1128,0
7496,2,14,1128,0
7497,4,2,1128,0
7498,4,3,1128,0
7499,4,10,1128,0
7500,4,14,1128,0
7501,15,2,1128,0
7502,15,3,1128,0
7503,15,4,1128,0
7504,15,10,1128,0
7505,15,14,1128,0
7506,4,28,1132,0
7507,4,17,1132,0
7508,4,21,1132,0
7509,12,28,1132,0
7510,12,17,1132,0
7511,12,21,1132,0
7512,28,3,1133,0
7513,28,21,1133,0
7514,17,28,1133,0
7515,17,3,1133,0
7516,17,21,1133,0
7517,21,28,1133,0
7518,21,3,1133,0
7519,28,5,1134,0
7520,28,17,1134,0
7521,3,5,1134,0
7522,3,17,1134,0
7523,21,5,1134,0
7524,21,17,1134,0
7525,5,10,1135,0
7526,5,14,1135,0
7527,17,10,1135,0
7528,17,14,1135,0
7529,28,17,1139,0
7530,29,17,1139,0
7531,6,17,1139,0
7532,21,17,1139,0
7533,17,2,1140,0
7534,17,4,1140,0
7535,17,6,1140,0
7536,17,12,1140,0
7537,17,18,1140,0
7538,17,21,1140,0
7539,2,28,1141,0
7540,4,28,1141,0
7541,6,28,1141,0
7542,12,28,1141,0
7543,18,28,1141,0
7544,21,28,1141,0
7545,28,11,1142,0
7546,28,18,1142,0
7547,28,21,1142,0
7548,11,3,1149,0
7549,11,4,1149,0
7550,11,12,1149,0
7551,11,17,1149,0
7552,11,21,1149,0
7553,29,28,1153,0
7554,29,10,1153,0
7555,29,11,1153,0
7556,29,12,1153,0
7557,29,21,1153,0
7558,15,28,1153,0
7559,15,10,1153,0
7560,15,11,1153,0
7561,15,12,1153,0
7562,15,21,1153,0
7563,28,4,1154,0
7564,28,21,1154,0
7565,10,4,1154,0
7566,10,21,1154,0
7567,11,4,1154,0
7568,11,21,1154,0
7569,12,4,1154,0
7570,12,21,1154,0
7571,21,4,1154,0
7572,4,29,1155,0
7573,4,10,1155,0
7574,21,29,1155,0
7575,21,10,1155,0
7576,29,5,1156,0
7577,29,6,1156,0
7578,29,8,1156,0
